Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
2023-10-09,Client,259881,179718,1713357,220154
2023-10-09,DII,54189,69088,141742,1742041
2023-10-09,FII,49824,137643,1097785,1307344
2023-10-09,Pro,61995,39440,461678,145023
2023-10-09,TOTAL,425889,425889,3414562,3414562
2023-10-10,Client,257667,165630,1704244,221863
2023-10-10,DII,53498,68774,138293,1756448
2023-10-10,FII,47113,132787,1110146,1269859
2023-10-10,Pro,50816,41903,447695,152208
2023-10-10,TOTAL,409094,409094,3400378,3400378
2023-10-11,Client,239831,163248,1697497,209928
2023-10-11,DII,53121,68784,139401,1765043
2023-10-11,FII,48913,122706,1119065,1265029
2023-10-11,Pro,49897,37024,441251,157214
2023-10-11,TOTAL,391762,391762,3397214,3397214
2023-10-12,Client,233686,164601,1723518,210591
2023-10-12,DII,52599,68784,139859,1775442
2023-10-12,FII,47088,117735,1123534,1286305
2023-10-12,Pro,54458,36711,455341,169914
2023-10-12,TOTAL,387831,387831,3442252,3442252
Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
2023-10-09,Client,259881,179718,1713357,220154
2023-10-09,DII,54189,69088,141742,1742041
2023-10-09,FII,49824,137643,1097785,1307344
2023-10-09,Pro,61995,39440,461678,145023
2023-10-09,TOTAL,425889,425889,3414562,3414562
2023-10-10,Client,257667,165630,1704244,221863
2023-10-10,DII,53498,68774,138293,1756448
2023-10-10,FII,47113,132787,1110146,1269859
2023-10-10,Pro,50816,41903,447695,152208
2023-10-10,TOTAL,409094,409094,3400378,3400378
2023-10-11,Client,239831,163248,1697497,209928
2023-10-11,DII,53121,68784,139401,1765043
2023-10-11,FII,48913,122706,1119065,1265029
2023-10-11,Pro,49897,37024,441251,157214
2023-10-11,TOTAL,391762,391762,3397214,3397214
2023-10-12,Client,233686,164601,1723518,210591
2023-10-12,DII,52599,68784,139859,1775442
2023-10-12,FII,47088,117735,1123534,1286305
2023-10-12,Pro,54458,36711,455341,169914
2023-10-12,TOTAL,387831,387831,3442252,3442252
Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
2023-10-09,Client,259881,179718,1713357,220154
2023-10-09,DII,54189,69088,141742,1742041
2023-10-09,FII,49824,137643,1097785,1307344
2023-10-09,Pro,61995,39440,461678,145023
2023-10-09,TOTAL,425889,425889,3414562,3414562
2023-10-10,Client,257667,165630,1704244,221863
2023-10-10,DII,53498,68774,138293,1756448
2023-10-10,FII,47113,132787,1110146,1269859
2023-10-10,Pro,50816,41903,447695,152208
2023-10-10,TOTAL,409094,409094,3400378,3400378
2023-10-11,Client,239831,163248,1697497,209928
2023-10-11,DII,53121,68784,139401,1765043
2023-10-11,FII,48913,122706,1119065,1265029
2023-10-11,Pro,49897,37024,441251,157214
2023-10-11,TOTAL,391762,391762,3397214,3397214
2023-10-12,Client,233686,164601,1723518,210591
2023-10-12,DII,52599,68784,139859,1775442
2023-10-12,FII,47088,117735,1123534,1286305
2023-10-12,Pro,54458,36711,455341,169914
2023-10-12,TOTAL,387831,387831,3442252,3442252
Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
2023-10-09,Client,259881,179718,1713357,220154
2023-10-09,DII,54189,69088,141742,1742041
2023-10-09,FII,49824,137643,1097785,1307344
2023-10-09,Pro,61995,39440,461678,145023
2023-10-09,TOTAL,425889,425889,3414562,3414562
2023-10-10,Client,257667,165630,1704244,221863
2023-10-10,DII,53498,68774,138293,1756448
2023-10-10,FII,47113,132787,1110146,1269859
2023-10-10,Pro,50816,41903,447695,152208
2023-10-10,TOTAL,409094,409094,3400378,3400378
2023-10-11,Client,239831,163248,1697497,209928
2023-10-11,DII,53121,68784,139401,1765043
2023-10-11,FII,48913,122706,1119065,1265029
2023-10-11,Pro,49897,37024,441251,157214
2023-10-11,TOTAL,391762,391762,3397214,3397214
2023-10-12,Client,233686,164601,1723518,210591
2023-10-12,DII,52599,68784,139859,1775442
2023-10-12,FII,47088,117735,1123534,1286305
2023-10-12,Pro,54458,36711,455341,169914
2023-10-12,TOTAL,387831,387831,3442252,3442252
Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
2023-10-30,Client,267409,137857,1813935,184336
2023-10-30,DII,68584,61716,155498,1941907
2023-10-30,FII,25955,183797,1166010,1338358
2023-10-30,Pro,60980,39558,455928,126770
2023-10-30,TOTAL,422928,422928,3591371,3591371
2023-10-31,Client,270543,143672,1824474,196728
2023-10-31,DII,66447,60813,156446,1940066
2023-10-31,FII,29053,186379,1168354,1334673
2023-10-31,Pro,59839,35018,456330,134137
2023-10-31,TOTAL,425882,425882,3605604,3605604
2023-11-01,Client,274847,144759,1847123,208397
2023-11-01,DII,69275,61188,157506,1943016
2023-11-01,FII,34665,196834,1173052,1357535
2023-11-01,Pro,59385,35391,468721,137454
2023-11-01,TOTAL,438172,438172,3646402,3646402
2023-11-02,Client,279694,133283,1846793,207913
2023-11-02,DII,69818,61396,157965,1947403
2023-11-02,FII,40725,216423,1189567,1350003
2023-11-02,Pro,56602,35737,457693,146699
2023-11-02,TOTAL,446839,446839,3652018,3652018
2023-11-03,Client,262525,127284,1833623,212561
2023-11-03,DII,69455,61284,159395,1944256
2023-11-03,FII,44516,207210,1210952,1337908
2023-11-03,Pro,52840,33558,447985,157230
2023-11-03,TOTAL,429336,429336,3651955,3651955
